85143,0.13,0.2,252.7777771,30940,26,45962,5.73,17,53.076172,59.166992,51.722656,55.106445,29.798584,31.576904,29.678467,29.782471
183132,0.25,0.72,205.3333328,66536,2,212540,6.55,1,57.136719,63.904297,55.783203,59.166992,33.570557,36.857666,33.402832,34.030151
320652,0.36,0.26,185.5072459,124791,6,315824,4.4,3,57.813477,64.581055,56.459961,59.84375,34.856873,37.403595,34.641541,34.580566
136864,0.18,0.2,229.1666661,51604,2,95068,4.93,1,52.399414,58.490234,51.722656,54.429688,32.659241,34.413025,32.675171,32.549194
115812,0.16,0.24,235.2941171,41621,8,87291,5.68,4,55.106445,62.550781,54.429688,57.136719,32.375977,34.806061,33.071045,32.738434
86943,0.13,0.23,270.1754379,31446,6,47452,5.91,3,54.429688,60.520508,53.076172,56.459961,30.960205,33.268524,31.37558,31.194305
299298,0.36,0.64,182.7160489,106626,8,360309,5.73,4,60.520508,67.964844,59.166992,62.550781,38.096924,40.934875,37.596313,37.756348
137794,0.2,0.47,211.1111106,49052,6,134951,6.36,3,57.136719,63.904297,55.783203,59.166992,33.365753,36.258179,33.071045,33.462982
110220,0.16,0.19,243.589743,40489,6,66871,5.22,3,55.783203,62.550781,55.106445,57.813477,33.14502,35.69458,33.197021,33.100891
205737,0.26,0.28,179.999999,71511,216,159537,4.72,167,59.166992,65.93457,57.136719,59.84375,36.328857,39.244904,36.025085,36.246094
136588,0.19,0.25,236.1111105,46462,30,107415,5.43,17,52.399414,59.166992,51.722656,54.429688,29.058289,31.103668,29.269775,29.023682
149063,0.19,0.25,215.555555,49772,38,125145,5.26,21,52.399414,58.490234,51.722656,54.429688,29.03009,30.885132,29.163757,29.023682
223843,0.28,0.45,215.8148143,75236,78,232632,5.41,44,58.490234,66.611328,57.136719,61.197266,35.096375,38.719299,35.731934,35.766266
327259,0.43,0.16,229.3333327,100760,250,310014,4.02,1,68.641602,76.762695,65.93457,69.318359,45.884033,50.102783,45.082581,45.430206
244862,0.32,0.15,228.0193231,77703,166,214849,4.14,1,63.904297,72.025391,62.550781,65.93457,39.866455,43.209229,39.627594,40.002319
256517,0.34,0.15,232.4786319,80630,178,228238,4.12,1,63.904297,72.702148,63.227539,66.611328,40.529022,44.459198,40.595215,40.94577
268473,0.35,0.15,228.1481476,84293,190,242140,4.1,1,64.581055,73.378906,63.227539,67.288086,41.303101,45.109863,41.583801,41.471558
279612,0.37,0.15,227.1604933,87555,202,254951,4.08,1,65.93457,75.40918,64.581055,68.641602,41.97583,46.289886,42.282074,42.578888
303860,0.4,0.16,230.3030297,93905,226,282941,4.04,1,67.964844,77.439453,66.611328,69.995117,44.733948,49.57251,45.060791,44.842896
315643,0.42,0.16,228.2828277,97640,238,296670,4.03,1,69.318359,79.469727,67.964844,72.025391,45.297821,50.462128,45.250122,45.95105
339338,0.45,0.16,231.3725484,104941,262,324045,4,1,72.025391,82.853516,70.671875,74.732422,47.905884,53.49408,47.757568,48.28125
363038,0.48,0.17,228.1481476,112181,286,351425,3.98,1,74.732422,86.237305,72.702148,77.439453,49.711761,56.701538,49.487091,50.446289
374539,0.49,0.17,229.3333328,114791,298,364638,3.97,1,75.40918,87.59082,73.378906,78.116211,50.723877,58.486908,50.716187,51.035797
386668,0.51,0.17,232.4786319,118028,310,378735,3.96,1,76.762695,90.297852,75.40918,80.146484,52.328613,60.325928,51.826538,52.841858
399941,0.52,0.19,228.1481476,122163,322,393742,3.96,1,77.439453,91.651367,75.40918,80.823242,53.276001,62.098022,52.58313,53.782104
411835,0.54,0.2,229.9516902,125473,334,407582,3.95,1,79.469727,94.358398,77.439453,82.176758,54.642426,64.840118,54.227234,55.0448
423607,0.55,0.2,231.9999994,128629,346,421082,3.94,1,80.146484,95.711914,78.116211,83.530273,55.769073,66.489258,55.012207,56.011414
435600,0.57,0.2,232.3232317,131861,358,435027,3.93,1,82.853516,102.479492,80.823242,86.237305,58.096619,73.369995,57.773895,58.83078
443889,0.57,0.26,232.0987649,134034,370,445050,3.92,1,82.176758,100.449219,80.146484,85.560547,57.703033,71.426788,57.122681,58.75708
169776,0.19,0.4,239.3939387,68921,8,159758,5.33,4,58.490234,65.257812,56.459961,59.166992,35.952393,38.68158,36.421875,36.605896
190242,0.23,0.38,226.9005842,78879,8,195100,5.26,4,66.611328,74.732422,65.93457,69.318359,44.777527,49.216187,44.893158,45.552246
117606,0.17,0.21,269.4444438,39143,16,80193,5.37,8,53.076172,58.490234,51.722656,54.429688,29.03009,31.073456,28.903564,29.156982
147539,0.21,0.97,156.2499996,47554,20,114166,5.39,10,59.84375,67.288086,58.490234,61.874023,36.039825,39.114258,36.129456,36.676941
78274,0.12,0.16,189.3719802,28303,2,45962,5.66,1,51.045898,57.136719,50.369141,53.076172,27.939697,29.899841,27.789368,27.966797
122866,0.18,0.21,203.3333328,44042,4,83962,5.21,2,53.75293,59.84375,52.399414,55.783203,31.322571,33.709991,31.215454,31.413757
92199,0.13,0.14,285.714285,32806,4,45962,5.15,2,51.045898,57.136719,50.369141,53.076172,28.128479,29.928955,28.006622,27.966797
86625,0.13,0.14,275.7575751,31175,2,45962,5.25,1,51.722656,57.813477,51.045898,53.75293,28.450745,30.493652,28.591919,28.575165
418456,0.48,0.89,166.0818709,161276,12,319136,4.89,6,81.5,104.509766,78.116211,83.530273,56.597351,74.333496,56.096191,56.846191
80820,0.12,0.16,285.3333326,29286,2,45962,5.58,1,52.399414,59.166992,51.722656,54.429688,29.609985,31.795807,29.664185,29.899841
420250,0.54,0.43,202.2222217,144674,16,406312,4.52,8,63.227539,72.025391,61.874023,65.257812,39.133301,43.333649,38.735596,39.644165
114844,0.18,0.19,218.8034183,39823,2,72038,5.13,1,53.076172,59.84375,52.399414,55.106445,29.638733,31.857697,29.649902,29.535645
98039,0.15,0.14,284.2105256,32800,0,46783,4.96,0,51.722656,57.813477,49.692383,52.399414,29.03009,30.508484,28.768707,28.658112
220316,0.27,0.38,215.9999995,70116,54,222265,5.12,25,55.106445,61.874023,54.429688,57.136719,33.505371,36.017578,33.831299,33.857483
153564,0.21,0.3,233.3333328,51459,50,135087,5.43,23,54.429688,61.197266,53.75293,56.459961,32.768372,34.483154,32.326355,32.690918
191267,0.25,0.52,219.7530859,63797,90,207072,5.8,41,59.84375,66.611328,57.813477,61.874023,37.081787,40.332184,36.836792,37.324402
353149,0.42,0.31,218.3574874,113756,596,344462,3.92,301,63.227539,71.348633,61.874023,64.581055,42.519836,47.131439,42.954346,42.664673
84554,0.13,0.18,264.1025634,30119,98,45962,5.64,98,50.369141,56.459961,48.338867,51.045898,28.114838,29.928955,28.142944,27.980347
